IATA,Centro,Nave,Tipo de Almacenamiento,Posicion,Tipo de Posicion,Division Horizontal,Piso,Pasillo,Columna,Altura,Largo,Alto,Ancho,Peso
RDI,A048,CD SARANDI NAVE 1,General,RAC004.10A,Rack,1,1,RAC,004,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC002.10A,Rack,1,1,RAC,002,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD045.10A,Rack,1,1,RAD,045,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD043.10A,Rack,1,1,RAD,043,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD041.10A,Rack,1,1,RAD,041,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD039.10A,Rack,1,1,RAD,039,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD037.10A,Rack,1,1,RAD,037,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD035.10A,Rack,1,1,RAD,035,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD033.10A,Rack,1,1,RAD,033,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD031.10A,Rack,1,1,RAD,031,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD029.10A,Rack,1,1,RAD,029,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD027.10A,Rack,1,1,RAD,027,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD025.10A,Rack,1,1,RAD,025,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD023.10A,Rack,1,1,RAD,023,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD021.10A,Rack,1,1,RAD,021,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD019.10A,Rack,1,1,RAD,019,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD017.10A,Rack,1,1,RAD,017,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD015.10A,Rack,1,1,RAD,015,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD013.10A,Rack,1,1,RAD,013,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD011.10A,Rack,1,1,RAD,011,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD009.10A,Rack,1,1,RAD,009,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD007.10A,Rack,1,1,RAD,007,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD003.10A,Rack,1,1,RAD,003,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD001.10A,Rack,1,1,RAD,001,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD044.10A,Rack,1,1,RAD,044,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD042.10A,Rack,1,1,RAD,042,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD040.10A,Rack,1,1,RAD,040,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD038.10A,Rack,1,1,RAD,038,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD036.10A,Rack,1,1,RAD,036,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD034.10A,Rack,1,1,RAD,034,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD032.10A,Rack,1,1,RAD,032,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD030.10A,Rack,1,1,RAD,030,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD028.10A,Rack,1,1,RAD,028,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD026.10A,Rack,1,1,RAD,026,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD024.10A,Rack,1,1,RAD,024,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD022.10A,Rack,1,1,RAD,022,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD020.10A,Rack,1,1,RAD,020,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD018.10A,Rack,1,1,RAD,018,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD016.10A,Rack,1,1,RAD,016,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD014.10A,Rack,1,1,RAD,014,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD012.10A,Rack,1,1,RAD,012,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD010.10A,Rack,1,1,RAD,010,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD008.10A,Rack,1,1,RAD,008,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD006.10A,Rack,1,1,RAD,006,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD004.10A,Rack,1,1,RAD,004,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAD002.10A,Rack,1,1,RAD,002,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE045.10A,Rack,1,1,RAE,045,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE043.10A,Rack,1,1,RAE,043,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE041.10A,Rack,1,1,RAE,041,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE039.10A,Rack,1,1,RAE,039,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE037.10A,Rack,1,1,RAE,037,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE035.10A,Rack,1,1,RAE,035,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE033.10A,Rack,1,1,RAE,033,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE031.10A,Rack,1,1,RAE,031,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE029.10A,Rack,1,1,RAE,029,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE027.10A,Rack,1,1,RAE,027,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE025.10A,Rack,1,1,RAE,025,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE023.10A,Rack,1,1,RAE,023,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE021.10A,Rack,1,1,RAE,021,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE019.10A,Rack,1,1,RAE,019,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE017.10A,Rack,1,1,RAE,017,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE015.10A,Rack,1,1,RAE,015,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE013.10A,Rack,1,1,RAE,013,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE011.10A,Rack,1,1,RAE,011,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE009.10A,Rack,1,1,RAE,009,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE007.10A,Rack,1,1,RAE,007,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE003.10A,Rack,1,1,RAE,003,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE001.10A,Rack,1,1,RAE,001,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE044.10A,Rack,1,1,RAE,044,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE042.10A,Rack,1,1,RAE,042,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE040.10A,Rack,1,1,RAE,040,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE038.10A,Rack,1,1,RAE,038,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE036.10A,Rack,1,1,RAE,036,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE034.10A,Rack,1,1,RAE,034,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE032.10A,Rack,1,1,RAE,032,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE030.10A,Rack,1,1,RAE,030,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE028.10A,Rack,1,1,RAE,028,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE026.10A,Rack,1,1,RAE,026,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE024.10A,Rack,1,1,RAE,024,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE022.10A,Rack,1,1,RAE,022,10,100,180,120,1050
