SUCURSAL;ACTIVIDAD;MTS2;FTE;TIENE MTS2;TIENE FTE;ESTADO / INCONSISTENCIA
CRD;TRONCAL TERRESTRE DI;;0,4;NO;SI;FTE sin MTS2
CRD;DISTRIBUCION SP;2472;;SI;NO;MTS2 sin FTE
CRD;FLOTA PROPIA CAMIONETA;;3;NO;SI;OK - Sin mts2
CRD;ADMINISTRACION OP AS;144;1,05;SI;SI;OK - Tiene MTS2 y FTE
CRD;ADMINISTRACION OP DI;247,2;1,05;SI;SI;OK - Tiene MTS2 y FTE
CRD;ALMACENAMIENTO AS;19644;0,83;SI;SI;OK - Tiene MTS2 y FTE
CRD;CALIDAD Y DIR TECNICA;1008;1;SI;SI;OK - Tiene MTS2 y FTE
CRD;CLASIFICACION DI;2028;0,67;SI;SI;OK - Tiene MTS2 y FTE
CRD;DISTRIBUCION DI;7024,8;2,74;SI;SI;OK - Tiene MTS2 y FTE
CRD;INGRESO AS;1920;1,33;SI;SI;OK - Tiene MTS2 y FTE
CRD;PICKING AS;2736;1,34;SI;SI;OK - Tiene MTS2 y FTE
CRJ;OPERACIONES POSTAL SDI;;2;NO;SI;FTE sin MTS2
CRJ;ADMINISTRACION OP SP;55,44;;SI;NO;MTS2 sin FTE
CRJ;CLASIFICACION SP;210;;SI;NO;MTS2 sin FTE
CRJ;DISTRIBUCION DI;49,6;;SI;NO;MTS2 sin FTE
CRJ;DISTRIBUCION SP;248;;SI;NO;MTS2 sin FTE
CRJ;DISTRIBUIDORES DOMICILIARIOS SDI;49,6;;SI;NO;MTS2 sin FTE
CRJ;INGRESOS SP;56;;SI;NO;MTS2 sin FTE
CRJ;RECEPCION SP;179,2;;SI;NO;MTS2 sin FTE
CRJ;RENDICION SP;55,44;;SI;NO;MTS2 sin FTE
CSI;ADMINISTRACION OP AG;;4,47;NO;SI;FTE sin MTS2
CSI;ALMACENAMIENTO AG;;35,43;NO;SI;FTE sin MTS2
CSI;CALIDAD Y DIR TECNICA;;0,97;NO;SI;FTE sin MTS2
CSI;MANTENIMIENTO;;2;NO;SI;FTE sin MTS2
CTC;ADMINISTRACION OP DI;;1,9;NO;SI;FTE sin MTS2
CTC;RENDICION SP;;0,1;NO;SI;FTE sin MTS2
CTC;ADMISION DI;720;;SI;NO;MTS2 sin FTE
CTC;CLASIFICACION DI;4637,76;;SI;NO;MTS2 sin FTE
CTC;CLASIFICACION SP;2664;;SI;NO;MTS2 sin FTE
CTC;DISTRIBUCION SP;2328;;SI;NO;MTS2 sin FTE
CTC;IMPOSICION DI;555,42;;SI;NO;MTS2 sin FTE
CTC;DISTRIBUCION DI;5745,07;3;SI;SI;OK - Tiene MTS2 y FTE
EEV;ADMINISTRACION OP XD;;15;NO;SI;FTE sin MTS2
EEV;CALIDAD Y DIR TECNICA GLOBAL;;1;NO;SI;FTE sin MTS2
EEV;INPLANT RECURSOS HUMANOS;;2;NO;SI;FTE sin MTS2
EEV;MANTENIMIENTO;;4;NO;SI;FTE sin MTS2
EEV;CROSS DOCK MELI SE;714000;227,38;SI;SI;OK - Tiene MTS2 y FTE
EQS;CALIDAD Y DIR TECNICA;;1;NO;SI;FTE sin MTS2
EQS;LIMPIEZA;;1;NO;SI;FTE sin MTS2
EQS;RENDICION DI;;0,35;NO;SI;FTE sin MTS2
EQS;ADMINISTRACION OP DI;864;;SI;NO;MTS2 sin FTE
EQS;ADMISION DI;3432;;SI;NO;MTS2 sin FTE
EQS;ADMINISTRACION OP AS;864;1,6;SI;SI;OK - Tiene MTS2 y FTE
EQS;ALMACENAMIENTO AS;15720,96;1;SI;SI;OK - Tiene MTS2 y FTE
EQS;CLASIFICACION DI;1296;0,2;SI;SI;OK - Tiene MTS2 y FTE
EQS;DISTRIBUCION DI;6859,2;1,2;SI;SI;OK - Tiene MTS2 y FTE
EQS;IMPOSICION DI;369,6;0,25;SI;SI;OK - Tiene MTS2 y FTE
EQS;INGRESO AS;4003,2;0,7;SI;SI;OK - Tiene MTS2 y FTE
EQS;PICKING AS;1280,64;0,7;SI;SI;OK - Tiene MTS2 y FTE
EZE;NACIONALIZACIONES LYTESA SE;;3;NO;SI;FTE sin MTS2
EZE;OPER LIFE SCIENCE USA;;5;NO;SI;FTE sin MTS2
EZE;INTERNACIONAL DI;2544;1;SI;SI;OK - Tiene MTS2 y FTE
FCO;ADMINISTRACION OP SP;;0,05;NO;SI;FTE sin MTS2
FCO;ADMISION DI;;0,2;NO;SI;FTE sin MTS2
FCO;DISTRIBUIDORES DOMICILIARIOS SDI;;2;NO;SI;FTE sin MTS2
FCO;CLASIFICACION DI;1536;;SI;NO;MTS2 sin FTE
FCO;DISTRIBUCION SP;1100;;SI;NO;MTS2 sin FTE
FCO;FLOTA PROPIA CAMIONETA;;1;NO;SI;OK - Sin mts2
FCO;ADMINISTRACION OP DI;576;0,98;SI;SI;OK - Tiene MTS2 y FTE
FCO;DISTRIBUCION DI;1036;1,17;SI;SI;OK - Tiene MTS2 y FTE
FCO;IMPOSICION DI;660;0,1;SI;SI;OK - Tiene MTS2 y FTE
FCO;RENDICION DI;660;0,3;SI;SI;OK - Tiene MTS2 y FTE
FCO;TRONCAL TERRESTRE DI;1056;0,2;SI;SI;OK - Tiene MTS2 y FTE
FLO;RECEPCION SP;;1,5;NO;SI;FTE sin MTS2
FLO;RENDICION SP;;0,5;NO;SI;FTE sin MTS2
FLO;ADMINISTRACION OP SP;1097,09;;SI;NO;MTS2 sin FTE
FLO;DISTRIBUCION SP;1147,97;7,76;SI;SI;OK - Tiene MTS2 y FTE
FMA;ADMINISTRACION OP SP;;1,85;NO;SI;FTE sin MTS2
FMA;ADMISION DI;;0,5;NO;SI;FTE sin MTS2
FMA;ARMADO SP;;0,25;NO;SI;FTE sin MTS2
FMA;CLASIFICACION SP;;1,55;NO;SI;FTE sin MTS2
FMA;IMPOSICION DI;;0,45;NO;SI;FTE sin MTS2
FMA;INGRESOS SP;;0,1;NO;SI;FTE sin MTS2
FMA;MAILROOM SE;;1,01;NO;SI;FTE sin MTS2
FMA;PROGRAMACION SP;;3,2;NO;SI;FTE sin MTS2
FMA;RECEPCION SP;;0,2;NO;SI;FTE sin MTS2
FMA;RENDICION DI;;0,5;NO;SI;FTE sin MTS2
FMA;RENDICION SP;;0,65;NO;SI;FTE sin MTS2
FMA;TRONCAL AEREO DI;;0,2;NO;SI;FTE sin MTS2
FMA;TRONCAL TERRESTRE DI;;0,6;NO;SI;FTE sin MTS2
FMA;FLOTA PROPIA CAMIONETA;;4,81;NO;SI;OK - Sin mts2
FMA;FLOTA PROPIA MOTO;;2;NO;SI;OK - Sin mts2
FMA;ADMINISTRACION OP DI;1872;0,89;SI;SI;OK - Tiene MTS2 y FTE
FMA;CLASIFICACION DI;12984;1,1;SI;SI;OK - Tiene MTS2 y FTE
FMA;DISTRIBUCION DI;2817,6;3,15;SI;SI;OK - Tiene MTS2 y FTE
FMA;DISTRIBUCION SP;5184;12,8;SI;SI;OK - Tiene MTS2 y FTE
IRI;AUDITORIA OPERATIVA;;0,25;NO;SI;FTE sin MTS2
IRI;CONTROL GESTION OP;;1;NO;SI;FTE sin MTS2
IRI;CUSTOMER INTELLIGENT;;1;NO;SI;FTE sin MTS2
IRI;IMPLEMENTACION;;1;NO;SI;FTE sin MTS2
IRI;IMPLEMENTACION OP;;1;NO;SI;FTE sin MTS2
IRI;INGENIERIA LOGISTICA OP;;9;NO;SI;FTE sin MTS2
IRI;INPLANT INF Y TECNOLOG;;1;NO;SI;FTE sin MTS2
IRI;INPLANT RECURSOS HUMANOS;;1;NO;SI;FTE sin MTS2
IRI;INTERNACIONAL ADM DI;;6;NO;SI;FTE sin MTS2
IRI;MAILROOM SE;;27,3;NO;SI;FTE sin MTS2
IRI;NACIONALIZACIONES LYTESA SE;;2;NO;SI;FTE sin MTS2
IRI;OBRAS CIVILES;;0,77;NO;SI;FTE sin MTS2
IRI;OPER LIFE SCIENCE USA;;40,24;NO;SI;FTE sin MTS2
IRI;SEGURIDAD E HIGIENE;;1;NO;SI;FTE sin MTS2
IRI;TRONCAL AEREO DI;;0,3;NO;SI;FTE sin MTS2
IRI;ARMADO SP;2241,67;;SI;NO;MTS2 sin FTE
IRI;ESPACIOS CEDIDOS AG;14148,96;;SI;NO;MTS2 sin FTE
IRI;ESPACIOS CEDIDOS AS;4908;;SI;NO;MTS2 sin FTE
IRI;ESPACIOS CEDIDOS SE;35325,72;;SI;NO;MTS2 sin FTE
IRI;PLANEAMIENTO;936;;SI;NO;MTS2 sin FTE
IRI;RRHH;312;;SI;NO;MTS2 sin FTE
IRI;SISTEMAS;2306,85;;SI;NO;MTS2 sin FTE
IRI;FLOTA PROPIA CAMIONETA;;16;NO;SI;OK - Sin mts2
IRI;FLOTA PROPIA MOTO;;1;NO;SI;OK - Sin mts2
IRI;ADMINISTRACION OP AG;768;2,3;SI;SI;OK - Tiene MTS2 y FTE
IRI;ADMINISTRACION OP AS;2904;6,2;SI;SI;OK - Tiene MTS2 y FTE
IRI;ADMINISTRACION OP DI;3384;3,1;SI;SI;OK - Tiene MTS2 y FTE
IRI;ADMINISTRACION OP SP;2808,09;10,9;SI;SI;OK - Tiene MTS2 y FTE
IRI;ADMISION DI;6480;4,7;SI;SI;OK - Tiene MTS2 y FTE
IRI;ALMACENAMIENTO AG;19632;0,8;SI;SI;OK - Tiene MTS2 y FTE
IRI;ALMACENAMIENTO AS;90912;8,97;SI;SI;OK - Tiene MTS2 y FTE
IRI;CALIDAD Y DIR TECNICA;2328;7,25;SI;SI;OK - Tiene MTS2 y FTE
IRI;CLASIFICACION DI;16824;3,08;SI;SI;OK - Tiene MTS2 y FTE
IRI;CLASIFICACION SP;7076,13;12,1;SI;SI;OK - Tiene MTS2 y FTE
IRI;CUSTOMER EXPERIENCE;9083,94;26,3;SI;SI;OK - Tiene MTS2 y FTE
IRI;DISTRIBUCION DI;82545,22;19,88;SI;SI;OK - Tiene MTS2 y FTE
IRI;DISTRIBUCION SP;10801,3;11,81;SI;SI;OK - Tiene MTS2 y FTE
IRI;GUARDA SP;1490,47;2;SI;SI;OK - Tiene MTS2 y FTE
IRI;IMPOSICION DI;3336;3,8;SI;SI;OK - Tiene MTS2 y FTE
IRI;INGRESO AG;7555,2;0,7;SI;SI;OK - Tiene MTS2 y FTE
IRI;INGRESO AS;30355,2;8,99;SI;SI;OK - Tiene MTS2 y FTE
IRI;INGRESOS SP;5937,74;5,7;SI;SI;OK - Tiene MTS2 y FTE
IRI;INNOVACION;1008;3;SI;SI;OK - Tiene MTS2 y FTE
IRI;INTERNACIONAL DI;10368;6;SI;SI;OK - Tiene MTS2 y FTE
IRI;LIMPIEZA;168;2,25;SI;SI;OK - Tiene MTS2 y FTE
IRI;MANTENIMIENTO;6843,24;13;SI;SI;OK - Tiene MTS2 y FTE
IRI;MEJORA CONTINUA;840;3;SI;SI;OK - Tiene MTS2 y FTE
IRI;PICKING AG;2496;2,2;SI;SI;OK - Tiene MTS2 y FTE
IRI;PICKING AS;5808;12,84;SI;SI;OK - Tiene MTS2 y FTE
IRI;PROGRAMACION DI;16273,39;24,5;SI;SI;OK - Tiene MTS2 y FTE
IRI;PROGRAMACION SP;6471,7;8,3;SI;SI;OK - Tiene MTS2 y FTE
IRI;RECEPCION SP;4461,44;8,2;SI;SI;OK - Tiene MTS2 y FTE
IRI;RENDICION DI;506;4,91;SI;SI;OK - Tiene MTS2 y FTE
IRI;RENDICION SP;3080,69;9,8;SI;SI;OK - Tiene MTS2 y FTE
IRI;SEGURIDAD PATRIMONIAL;864;18,25;SI;SI;OK - Tiene MTS2 y FTE
IRI;TRONCAL TERRESTRE DI;6456;0,4;SI;SI;OK - Tiene MTS2 y FTE
IRJ;ADMINISTRACION OP DI;;0,9;NO;SI;FTE sin MTS2
IRJ;IMPOSICION DI;;0,3;NO;SI;FTE sin MTS2
IRJ;INTERNACIONAL DI;;0,3;NO;SI;FTE sin MTS2
IRJ;RENDICION DI;;0,3;NO;SI;FTE sin MTS2
IRJ;TRONCAL AEREO DI;;0,3;NO;SI;FTE sin MTS2
IRJ;DISTRIBUCION DI;4608;;SI;NO;MTS2 sin FTE
IRJ;ADMISION DI;672;0,3;SI;SI;OK - Tiene MTS2 y FTE
IRJ;CLASIFICACION DI;6936;0,3;SI;SI;OK - Tiene MTS2 y FTE
IRJ;TRONCAL TERRESTRE DI;672;0,3;SI;SI;OK - Tiene MTS2 y FTE
JMA;OPERACIONES POSTAL SDI;;1;NO;SI;FTE sin MTS2
JMA;ADMINISTRACION OP SP;189;;SI;NO;MTS2 sin FTE
JMA;ARMADO SP;189;;SI;NO;MTS2 sin FTE
JMA;DISTRIBUCION DI;79;;SI;NO;MTS2 sin FTE
JMA;DISTRIBUCION SP;395;;SI;NO;MTS2 sin FTE
JMA;INGRESOS SP;343;;SI;NO;MTS2 sin FTE
JMA;RENDICION SP;189;;SI;NO;MTS2 sin FTE
JMA;DISTRIBUIDORES DOMICILIARIOS SDI;79;3;SI;SI;OK - Tiene MTS2 y FTE
JUJ;ADMINISTRACION OP DI;;0,68;NO;SI;FTE sin MTS2
JUJ;ADMINISTRACION OP SP;;0,2;NO;SI;FTE sin MTS2
JUJ;IMPOSICION DI;;0,7;NO;SI;FTE sin MTS2
JUJ;MAILROOM SE;;1,02;NO;SI;FTE sin MTS2
JUJ;RENDICION DI;;0,7;NO;SI;FTE sin MTS2
JUJ;RENDICION SP;;0,1;NO;SI;FTE sin MTS2
JUJ;TRONCAL AEREO DI;;0,2;NO;SI;FTE sin MTS2
JUJ;CLASIFICACION SP;552;;SI;NO;MTS2 sin FTE
JUJ;DISTRIBUCION SP;640;;SI;NO;MTS2 sin FTE
JUJ;FLOTA PROPIA MOTO;;1;NO;SI;OK - Sin mts2
JUJ;CLASIFICACION DI;2208;1,2;SI;SI;OK - Tiene MTS2 y FTE
JUJ;DISTRIBUCION DI;2076,8;5;SI;SI;OK - Tiene MTS2 y FTE
JUJ;TRONCAL TERRESTRE DI;2160;0,2;SI;SI;OK - Tiene MTS2 y FTE
LCA;ADMINISTRACION OP SP;;0,05;NO;SI;FTE sin MTS2
LCA;IMPOSICION DI;;0,1;NO;SI;FTE sin MTS2
LCA;OPERACIONES POSTAL SDI;;0,57;NO;SI;FTE sin MTS2
LCA;RECEPCION SP;;0,05;NO;SI;FTE sin MTS2
LCA;RENDICION DI;;0,3;NO;SI;FTE sin MTS2
LCA;RENDICION SP;;0,05;NO;SI;FTE sin MTS2
LCA;DISTRIBUCION SP;480;;SI;NO;MTS2 sin FTE
LCA;ADMINISTRACION OP DI;624;0,95;SI;SI;OK - Tiene MTS2 y FTE
LCA;ADMISION DI;7680;0,7;SI;SI;OK - Tiene MTS2 y FTE
LCA;CLASIFICACION DI;6240;0,9;SI;SI;OK - Tiene MTS2 y FTE
LCA;DISTRIBUCION DI;12240;0,6;SI;SI;OK - Tiene MTS2 y FTE
LCA;TRONCAL TERRESTRE DI;10872;0,3;SI;SI;OK - Tiene MTS2 y FTE
LUQ;ADMINISTRACION OP SP;;0,1;NO;SI;FTE sin MTS2
LUQ;ADMISION DI;;1,1;NO;SI;FTE sin MTS2
LUQ;IMPOSICION DI;;0,1;NO;SI;FTE sin MTS2
LUQ;RENDICION SP;;0,1;NO;SI;FTE sin MTS2
LUQ;TRONCAL TERRESTRE DI;;0,2;NO;SI;FTE sin MTS2
LUQ;DISTRIBUCION SP;140;;SI;NO;MTS2 sin FTE
LUQ;ADMINISTRACION OP DI;5090,67;0,9;SI;SI;OK - Tiene MTS2 y FTE
LUQ;CLASIFICACION DI;8546,67;1,2;SI;SI;OK - Tiene MTS2 y FTE
LUQ;DISTRIBUCION DI;6726,67;3,25;SI;SI;OK - Tiene MTS2 y FTE
MDQ;IMPOSICION DI;;0,5;NO;SI;FTE sin MTS2
MDQ;RENDICION DI;;0,6;NO;SI;FTE sin MTS2
